co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,pm2_5_category,pm2_5_category_encoded,pm2_5_category_Good,pm2_5_category_Moderate,pm2_5_category_Poor,pm2_5_category_Very Poor
-0.20297400097575355,-0.39437455355083406,0.528141522707917,-0.0033088505982907684,-0.17241098986785922,-0.4258655991880238,-0.44592581365103945,0.1045468899460761,2022,11,21,11,Poor,2,False,False,True,False
0.08702607892327954,-0.1820622545057353,1.2343579627177956,-0.6755450551117502,-0.09514229534557338,-0.31749028061862583,-0.3088537349360873,0.3730932013835584,2022,11,21,12,Poor,2,False,False,True,False
0.3208962070212242,0.22099308803325435,1.1496614477355778,-0.7499894046224845,0.0013424357725689414,-0.18382003026093255,-0.1504085931555322,0.6798950522500756,2022,11,21,13,Poor,2,False,False,True,False
0.28347740692214624,0.07692977670242535,0.9518301718647043,-0.7499894046224845,0.0013424357725689414,-0.12550483847674743,-0.08224686313370601,0.852613131256411,2022,11,21,14,Poor,2,False,False,True,False
0.03089963042713426,-0.3312764328338677,0.7259727985787906,-0.7250089133843249,-0.16270183453521603,-0.23586667001381253,-0.20954946818819867,0.7185293593962294,2022,11,21,15,Poor,2,False,False,True,False
-0.22168164937282092,-0.5368282189450057,0.3303102468370437,-0.5077656363479917,-0.31703694951035755,-0.38105869558397537,-0.3733098025349807,0.5071769732437399,2022,11,21,16,Poor,2,False,False,True,False
-0.25910044947189886,-0.540852333786649,0.11846592225865007,-0.4121935081781173,-0.37488733336735697,-0.40264546983262534,-0.3964046885445726,0.4882385873877821,2022,11,21,17,Poor,2,False,False,True,False
-0.33394155297499795,-0.5411742629739805,-0.02269493604504594,-0.385473082226852,-0.5195132930098553,-0.4703634896637684,-0.47474763249607316,0.33445889423740427,2022,11,21,18,Poor,2,False,False,True,False
-0.474262929172776,-0.5416571567549777,-0.2769905552373979,-0.3233325567587933,-0.7124827552461398,-0.5907903202370139,-0.6160868376374329,0.0757605434450201,2022,11,21,19,Poor,2,False,False,True,False
-0.5631347689736756,-0.5418181213486434,-0.48883487981579155,-0.26106775023979834,-0.7944037533653171,-0.6497676830104215,-0.6881788156835819,-0.020446456703245745,2022,11,21,20,Moderate,1,False,True,False,False
-0.6052304811720204,-0.5418181213486434,-0.6089761650582073,-0.22552336967206876,-0.8138220640306036,-0.6627020896665654,-0.7110491160917839,-0.03938484255920359,2022,11,21,21,Moderate,1,False,True,False,False
-0.6145843053705541,-0.5418181213486434,-0.6512213854264668,-0.23882144212223333,-0.8281835229601384,-0.6525929458977704,-0.7070440062003313,-0.03938484255920359,2022,11,21,22,Moderate,1,False,True,False,False
-0.5911997448742199,-0.5416571567549777,-0.6229892137657275,-0.30991020325769264,-0.8281835229601384,-0.6258412379331858,-0.6818529879111005,-0.05870199613228066,2022,11,21,23,Moderate,1,False,True,False,False
-0.5491005293709319,-0.5398865462246547,-0.5030540027690105,-0.4389139341293825,-0.7992583310316388,-0.584654202403553,-0.6382085193743353,-0.14506103563544837,2022,11,22,0,Poor,2,False,False,True,False
-0.4181329773716875,-0.49240199109326405,-0.23453926062343958,-0.6355265567103203,-0.6641392526523536,-0.4799428966411857,-0.5194401671726577,-0.06817118906025958,2022,11,22,1,Poor,2,False,False,True,False
-0.13749022497613134,-0.1856034755663814,-0.03691405899826492,-0.7458881299415927,-0.423028561891713,-0.28959080960605577,-0.29979544901336247,0.2579478153793347,2022,11,22,2,Poor,2,False,False,True,False
0.03089963042713426,0.14904191466467276,0.005537235615693085,-0.6789006434870254,-0.2686934469165715,-0.18924983237255624,-0.18495734483600768,0.44960428024162796,2022,11,22,3,Poor,2,False,False,True,False
0.012188478725123703,0.14179850794971482,0.019550284323213426,-0.5077656363479917,-0.14348579793935953,-0.19618055539308388,-0.19648607237402116,0.46892143381470514,2022,11,22,4,Poor,2,False,False,True,False
-0.05329529727449853,-0.05248575660482212,0.10445287355113003,-0.20775117938820398,0.03977450896428161,-0.17485864954012287,-0.18301093629062884,0.4306658943856701,2022,11,22,5,Poor,2,False,False,True,False
-0.20297400097575355,-0.2828260901404827,0.005537235615693085,0.35225923612994137,0.25196000779642275,-0.19251654258605327,-0.22609394082391934,0.2291614688782787,2022,11,22,6,Poor,2,False,False,True,False
-0.5958766569734868,-0.4698669479800618,-0.693672680040425,1.1879250226243954,0.03977450896428161,-0.4937160532170114,-0.5666405743980959,-0.4185313273954797,2022,11,22,7,Poor,2,False,False,True,False
-0.6753911692709095,-0.49771382268423314,-0.8702783086043194,1.4189634963146378,-0.17241098986785922,-0.5776793346504105,-0.6559133509505702,-0.5242075204717246,2022,11,22,8,Poor,2,False,False,True,False
-0.7081330572707206,-0.5054401231801883,-0.8842913573118395,1.4367356865985024,-0.23026137372485853,-0.6361269606324402,-0.7124714915672531,-0.5242075204717246,2022,11,22,9,Moderate,1,False,True,False,False
-0.4836167533713097,-0.45457531158181735,-0.24875838357665872,0.8323569358961631,-0.14348579793935953,-0.5586970996260354,-0.6078146013195725,-0.24088926806659514,2022,11,22,10,Poor,2,False,False,True,False
-0.08136027317504285,-0.3402904500791486,0.8389014852217476,-0.09216980201761475,0.0013424357725689414,-0.37086126234995054,-0.3813200223178862,0.14280242937511087,2022,11,22,11,Poor,2,False,False,True,False
0.28347740692214624,0.07692977670242535,1.4604214102494082,-0.7061181936420351,0.03977450896428161,-0.21984213207463058,-0.20307391668145738,0.44960428024162796,2022,11,22,12,Poor,2,False,False,True,False
0.6015424627217236,0.6382133148148283,1.3192605519457121,-0.7499894046224845,0.15567755074771045,-0.03381622883575369,0.008485719827802505,0.8336747454004532,2022,11,22,13,Poor,2,False,False,True,False
0.6015424627217236,0.5376104437737467,0.9518301718647043,-0.7499894046224845,0.15567755074771045,0.059240867516299665,0.11493929488660204,1.0253312102627468,2022,11,22,14,Poor,2,False,False,True,False
0.3208962070212242,0.04103467231496745,0.6977406269180513,-0.7498651235715484,-0.01807587489271771,-0.05067951669461721,-0.0061497751961042775,0.9295029778316,2022,11,22,15,Poor,2,False,False,True,False
0.04025345462566802,-0.32596460124289856,0.5563736943686564,-0.74501816258504,-0.20133618179635887,-0.2092032515144575,-0.18566853257374225,0.7567848988252646,2022,11,22,16,Poor,2,False,False,True,False
-0.07200644897650908,-0.4365472770912555,0.386980664404221,-0.72612744284275,-0.28811175758185786,-0.28914936227990756,-0.27097363016832887,0.6798950522500756,2022,11,22,17,Poor,2,False,False,True,False
-0.24974662527336508,-0.5107519547711574,0.13268504521186905,-0.651061688077335,-0.4713720644854992,-0.43367921686084804,-0.4354825831864104,0.4306658943856701,2022,11,22,18,Poor,2,False,False,True,False
-0.4555517774707654,-0.5385988294753288,-0.1922940402551802,-0.5122397541816919,-0.6932667186502833,-0.6061526871869733,-0.6320324153361138,0.11401608287405501,2022,11,22,19,Poor,2,False,False,True,False
-0.5303928809738646,-0.5400475108183204,-0.36168707021961555,-0.48328226931357643,-0.7751877167694606,-0.6602741293727501,-0.6946917981238883,0.037126236298866105,2022,11,22,20,Moderate,1,False,True,False,False
-0.5491005293709319,-0.5395646170373232,-0.41815141354109403,-0.5055285774311414,-0.7944037533653171,-0.6613777476881207,-0.6988092008160358,0.027657043370887178,2022,11,22,21,Moderate,1,False,True,False,False
-0.5444236172716651,-0.5379549711006658,-0.44658965944753215,-0.5455470758325713,-0.7992583310316388,-0.6471631437861468,-0.6860078215368132,0.04697419694396424,2022,11,22,22,Moderate,1,False,True,False,False
-0.5397467051723983,-0.534252785446354,-0.44658965944753215,-0.5900396920677015,-0.808967486364282,-0.6342728818626174,-0.6749656961351445,0.0659125827999221,2022,11,22,23,Moderate,1,False,True,False,False
-0.5210355534703877,-0.5173515031114523,-0.40413836483357385,-0.6588913942863105,-0.7944037533653171,-0.6112293314376784,-0.6514590698563377,0.08522973637299902,2022,11,23,0,Moderate,1,False,True,False,False
-0.4087791531731538,-0.39067236789652227,-0.3334548985588764,-0.7329629006442365,-0.6835575633176402,-0.5259417080258345,-0.5552241396607774,0.2291614688782787,2022,11,23,1,Poor,2,False,False,True,False
-0.14684404917466493,-0.016590652217364114,-0.2769905552373979,-0.7486223130621873,-0.46166290915285596,-0.340533831043565,-0.34220469674248344,0.5647496662458519,2022,11,23,2,Poor,2,False,False,True,False
0.021542302923657306,0.3360827725042518,-0.24875838357665872,-0.7022654810630155,-0.3556712967715005,-0.24840377407642303,-0.2323074757957058,0.7185293593962294,2022,11,23,3,Poor,2,False,False,True,False
0.012188478725123703,0.3504086213405018,-0.23453926062343958,-0.5943895288504656,-0.29761863884507117,-0.2538777209206615,-0.23320581820126532,0.6609566663941178,2022,11,23,4,Poor,2,False,False,True,False
-0.03458414557248782,0.12022925239850697,-0.09337840231974356,-0.39442131789425244,-0.18191787113107236,-0.22739088135176588,-0.20599352949952573,0.5840668198189288,2022,11,23,5,Poor,2,False,False,True,False
-0.18426284927374284,-0.1893056612206932,-0.10739145102726376,0.023411575352974473,-0.07592625874971703,-0.24813890568073418,-0.2484027772286467,0.35377604781048144,2022,11,23,6,Poor,2,False,False,True,False
-0.6660373450723759,-0.4743739566027022,-0.8138139652828408,0.9923066484509464,-0.31703694951035755,-0.647118999053532,-0.7112362707596089,-0.47118004007504255,2022,11,23,7,Moderate,1,False,True,False,False
-0.7525689771711704,-0.4994844332145562,-0.9691939465397561,1.1344841707218647,-0.5195132930098553,-0.7572601069275229,-0.8252134634649692,-0.5817802134738365,2022,11,23,8,Moderate,1,False,True,False,False
-0.7666032167739142,-0.5072107337105113,-0.9691939465397561,1.2056972129082604,-0.5195132930098553,-0.7807451046786104,-0.848196056673866,-0.5768562331512873,2022,11,23,9,Moderate,1,False,True,False,False
-0.623941632874031,-0.4788809652253427,-0.552511821736729,0.8856735067477578,-0.37488733336735697,-0.7177505712372536,-0.7683933063133314,-0.36588261471591693,2022,11,23,10,Moderate,1,False,True,False,False
